Data loaded: size=10000, dim=784
13N10000
3n_f784
3RankNum2500
N10000
1n_f784
1RankNum2500
2N10000
2n_f784
2RankNum2500
RowNUM:0,ZeroNum:683
RowNUM:1,ZeroNum:640
RowNUM:2,ZeroNum:615
RowNUM:3,ZeroNum:596
RowNUM:4,ZeroNum:722
RowNUM:5,ZeroNum:637
RowNUM:6,ZeroNum:590
RowNUM:7,ZeroNum:661
RowNUM:8,ZeroNum:692
RowNUM:9,ZeroNum:672
RowNUM:10,ZeroNum:719
RowNUM:11,ZeroNum:641
RowNUM:12,ZeroNum:612
RowNUM:13,ZeroNum:637
RowNUM:14,ZeroNum:673
RowNUM:15,ZeroNum:557
RowNUM:16,ZeroNum:588
RowNUM:17,ZeroNum:583
RowNUM:18,ZeroNum:611
RowNUM:19,ZeroNum:724
RowNUM:20,ZeroNum:640
RowNUM:21,ZeroNum:578
RowNUM:22,ZeroNum:618
RowNUM:23,ZeroNum:707
RowNUM:24,ZeroNum:714
RowNUM:25,ZeroNum:654
RowNUM:26,ZeroNum:561
RowNUM:27,ZeroNum:609
RowNUM:28,ZeroNum:632
RowNUM:29,ZeroNum:690
RowNUM:30,ZeroNum:676
RowNUM:31,ZeroNum:599
RowNUM:32,ZeroNum:723
RowNUM:33,ZeroNum:691
RowNUM:34,ZeroNum:622
RowNUM:35,ZeroNum:578
RowNUM:36,ZeroNum:521
RowNUM:37,ZeroNum:686
RowNUM:38,ZeroNum:636
RowNUM:39,ZeroNum:658
RowNUM:40,ZeroNum:571
RowNUM:41,ZeroNum:705
RowNUM:42,ZeroNum:608
RowNUM:43,ZeroNum:590
RowNUM:44,ZeroNum:675
RowNUM:45,ZeroNum:629
RowNUM:46,ZeroNum:645
RowNUM:47,ZeroNum:637
RowNUM:48,ZeroNum:603
RowNUM:49,ZeroNum:633
RowNUM:50,ZeroNum:608
RowNUM:51,ZeroNum:622
RowNUM:52,ZeroNum:623
RowNUM:53,ZeroNum:708
RowNUM:54,ZeroNum:628
RowNUM:55,ZeroNum:625
RowNUM:56,ZeroNum:596
RowNUM:57,ZeroNum:598
RowNUM:58,ZeroNum:623
RowNUM:59,ZeroNum:635
RowNUM:60,ZeroNum:648
RowNUM:61,ZeroNum:640
RowNUM:62,ZeroNum:622
RowNUM:63,ZeroNum:685
RowNUM:64,ZeroNum:695
RowNUM:65,ZeroNum:664
RowNUM:66,ZeroNum:658
RowNUM:67,ZeroNum:661
RowNUM:68,ZeroNum:601
RowNUM:69,ZeroNum:649
RowNUM:70,ZeroNum:636
RowNUM:71,ZeroNum:664
RowNUM:72,ZeroNum:613
RowNUM:73,ZeroNum:640
RowNUM:74,ZeroNum:641
RowNUM:75,ZeroNum:632
RowNUM:76,ZeroNum:731
RowNUM:77,ZeroNum:659
RowNUM:78,ZeroNum:688
RowNUM:79,ZeroNum:614
RowNUM:80,ZeroNum:656
RowNUM:81,ZeroNum:649
RowNUM:82,ZeroNum:654
RowNUM:83,ZeroNum:634
RowNUM:84,ZeroNum:606
RowNUM:85,ZeroNum:636
RowNUM:86,ZeroNum:632
RowNUM:87,ZeroNum:636
RowNUM:88,ZeroNum:638
RowNUM:89,ZeroNum:588
RowNUM:90,ZeroNum:683
RowNUM:91,ZeroNum:677
RowNUM:92,ZeroNum:579
RowNUM:93,ZeroNum:592
RowNUM:94,ZeroNum:622
RowNUM:95,ZeroNum:633
RowNUM:96,ZeroNum:651
RowNUM:97,ZeroNum:634
RowNUM:98,ZeroNum:646
RowNUM:99,ZeroNum:698
RowNUM:100,ZeroNum:592
RowNUM:101,ZeroNum:635
RowNUM:102,ZeroNum:642
RowNUM:103,ZeroNum:656
RowNUM:104,ZeroNum:658
RowNUM:105,ZeroNum:681
RowNUM:106,ZeroNum:628
RowNUM:107,ZeroNum:651
RowNUM:108,ZeroNum:659
RowNUM:109,ZeroNum:635
RowNUM:110,ZeroNum:616
RowNUM:111,ZeroNum:664
RowNUM:112,ZeroNum:697
RowNUM:113,ZeroNum:650
RowNUM:114,ZeroNum:587
RowNUM:115,ZeroNum:653
RowNUM:116,ZeroNum:660
RowNUM:117,ZeroNum:669
RowNUM:118,ZeroNum:624
RowNUM:119,ZeroNum:610
RowNUM:120,ZeroNum:596
RowNUM:121,ZeroNum:584
RowNUM:122,ZeroNum:677
RowNUM:123,ZeroNum:671
RowNUM:124,ZeroNum:671
RowNUM:125,ZeroNum:637
RowNUM:126,ZeroNum:700
RowNUM:127,ZeroNum:554
RowNUM:128,ZeroNum:662
RowNUM:129,ZeroNum:660
RowNUM:130,ZeroNum:619
RowNUM:131,ZeroNum:641
RowNUM:132,ZeroNum:612
RowNUM:133,ZeroNum:638
RowNUM:134,ZeroNum:647
RowNUM:135,ZeroNum:656
RowNUM:136,ZeroNum:606
RowNUM:137,ZeroNum:630
RowNUM:138,ZeroNum:576
RowNUM:139,ZeroNum:632
RowNUM:140,ZeroNum:635
RowNUM:141,ZeroNum:575
RowNUM:142,ZeroNum:672
RowNUM:143,ZeroNum:643
RowNUM:144,ZeroNum:656
RowNUM:145,ZeroNum:689
RowNUM:146,ZeroNum:704
RowNUM:147,ZeroNum:671
RowNUM:148,ZeroNum:611
RowNUM:149,ZeroNum:517
RowNUM:150,ZeroNum:664
RowNUM:151,ZeroNum:646
RowNUM:152,ZeroNum:636
RowNUM:153,ZeroNum:583
RowNUM:154,ZeroNum:670
RowNUM:155,ZeroNum:710
RowNUM:156,ZeroNum:619
RowNUM:157,ZeroNum:618
RowNUM:158,ZeroNum:639
RowNUM:159,ZeroNum:689
RowNUM:160,ZeroNum:649
RowNUM:161,ZeroNum:710
RowNUM:162,ZeroNum:611
RowNUM:163,ZeroNum:604
RowNUM:164,ZeroNum:577
RowNUM:165,ZeroNum:670
RowNUM:166,ZeroNum:642
RowNUM:167,ZeroNum:619
RowNUM:168,ZeroNum:604
RowNUM:169,ZeroNum:614
RowNUM:170,ZeroNum:563
RowNUM:171,ZeroNum:645
RowNUM:172,ZeroNum:635
RowNUM:173,ZeroNum:659
RowNUM:174,ZeroNum:718
RowNUM:175,ZeroNum:621
RowNUM:176,ZeroNum:726
RowNUM:177,ZeroNum:648
RowNUM:178,ZeroNum:664
RowNUM:179,ZeroNum:604
RowNUM:180,ZeroNum:647
RowNUM:181,ZeroNum:680
RowNUM:182,ZeroNum:622
RowNUM:183,ZeroNum:668
