The	4 0 0 0 0 0 0 0 0 0
a1	196 329 173 327 188 241 339 60 165 185
aaa	413 355 363 651 340 535 394 289 326 455
ab	1555 2344 2337 1442 1658 2460 2141 1624 1267 1363
abad	212 524 335 275 607 363 683 328 365 344
abandon	371 288 521 314 224 120 447 355 126 389
abandoned	588 590 534 905 490 719 670 948 671 836
abb	1353 1645 826 1599 1335 1378 1156 809 1186 1301
abbas	478 753 640 690 607 967 818 683 829 550
abbes	735 707 828 810 676 677 570 734 686 899
abbr	2361 2153 2311 1644 2209 1649 2476 1853 1936 1732
abbès	2100 1966 1995 1247 1600 1667 1273 1779 1364 2192
abc	1548 1606 2078 1345 1565 1615 1357 1561 1699 1765
abcnews	398 477 186 312 367 309 255 266 179 485
abd	1737 1412 1593 1625 1488 1849 2391 1922 1686 1731
abdali	386 281 481 252 381 591 588 230 547 532
abdel	497 380 192 341 455 313 288 257 71 218
abdelaziz	963 771 1237 980 529 1102 984 638 1228 1438
abdelhamid	216 224 427 305 239 495 193 377 512 723
abdelkader	1055 734 849 742 893 1235 1132 1180 1032 922
abderrahmane	409 241 760 457 629 596 457 230 891 398
abdul	9699 10416 8478 10011 10049 10453 10163 9142 9527 8066
abdullah	3100 3713 4074 4044 2825 3793 3254 3315 3849 2708
abdur	1079 895 904 828 989 1009 1354 1120 640 1177
ability	434 488 744 326 587 619 343 575 415 852
able	2702 2605 3123 2102 2383 2371 2470 2373 2370 2080
aboard	306 304 229 218 350 142 538 305 210 275
abolished	340 102 335 94 38 179 420 273 368 253
about	14917 17843 18304 16195 16036 16706 16327 17667 15962 15710
above	2525 2068 2015 1666 2443 2551 1923 2278 2105 2479
abroad	543 1460 1404 895 970 1008 1044 1030 770 1153
abs	171 204 227 240 343 179 15 176 132 389
absence	574 796 239 384 561 391 501 350 229 198
abu	1713 1971 1842 1731 1507 2075 2514 1777 1833 1581
abuse	580 552 965 427 668 762 817 744 689 424
abuses	484 200 195 534 648 287 214 121 329 400
ac	1499 1518 2241 1727 1056 1946 1552 1759 1444 2019
academic	709 451 668 841 520 854 613 1024 939 692
academy	3217 3092 3137 2566 4143 2584 2677 2679 2766 3768
acc	636 135 375 503 412 259 236 583 529 204
accept	1013 495 872 849 864 506 842 806 766 870
accepted	703 1203 1224 1221 817 838 1440 1591 1194 792
access	1153 1266 1615 714 1440 1230 875 1219 1418 1120
accessdate	45231 45460 47954 46524 46919 46803 48067 46315 47679 45839
accessed	2175 1900 1937 1964 1601 1644 1694 1746 1745 1338
accession	406 432 217 380 144 263 402 474 248 416
accident	555 822 845 484 605 727 421 679 646 640
accidental	441 340 169 126 293 215 86 151 287 449
accidents	306 610 479 688 583 277 295 439 807 537
accompanied	698 627 722 561 873 677 452 851 685 850
accord	2264 1095 1957 1734 1936 2344 1958 1781 1834 1798
accordance	255 376 214 311 140 416 459 445 438 268
according	13637 11924 12916 13426 15701 13042 12816 13896 12878 10620
accords	718 430 696 649 726 1048 626 407 457 807
account	1459 1499 1837 1454 1219 1003 1063 980 1212 1128
accounts	363 591 496 456 563 794 285 658 575 630
accusations	280 259 257 237 374 301 296 43 364 337
accused	1657 1313 1620 1962 1900 1277 1860 2293 1485 1612
achaemenid	418 275 391 432 290 96 444 153 451 287
achieve	709 347 293 455 331 346 389 310 481 222
achieved	772 731 672 873 455 1071 766 597 807 394
achievement	54 362 404 294 201 476 81 346 117 513
achievements	147 389 425 385 250 357 278 190 366 541
acknowledged	489 269 196 457 485 574 391 235 510 296
acquired	256 348 293 526 734 639 244 164 340 249
acronyms	361 220 554 570 308 336 213 247 273 599
across	1935 2265 1897 2715 2779 2785 1958 2386 1772 1875
act	1408 848 1330 1472 1079 1205 1050 1604 1246 1192
acted	410 398 286 324 276 94 331 415 469 252
acting	733 968 998 755 1151 1042 1347 973 1528 954
action	3223 3009 3013 3415 3081 3151 3145 3688 3519 4251
actions	974 1124 1056 1280 1318 754 1223 840 1155 585
active	2148 1307 2018 2436 2230 2092 1887 1828 1688 1753
actively	472 364 345 592 203 130 156 212 296 375
activist	400 497 539 895 390 549 304 421 453 524
activists	233 733 616 596 413 421 353 358 354 305
activities	2175 1945 2296 1943 2195 2219 2559 1900 1716 2845
activity	1397 1055 1105 1388 1510 1521 1722 1064 1205 844
